time_s,mode,temp_c,raw_adc,resistance_ohm,target_c,error,pid_output,cooling_pwm,algae_pump,waste_pump,peltier,algae_od,algae_cells,Am,Aa,Wm,Wa
7,auto,20.915,2235.4,12020.9,17.5,3.415,100.0,1023,1,0,1,-0.476,0,0.3996,1.0001,0.0002,0.0
10,auto,20.819,2239.8,12073.7,17.5,3.319,100.0,1023,1,0,1,-0.476,0,0.4263,0.9557,0.0003,0.0
12,auto,20.503,2254.5,12249.4,17.5,3.003,100.0,1023,1,0,1,-0.476,0,0.4497,0.9132,0.0003,0.0
14,auto,20.418,2258.4,12297.2,17.5,2.918,100.0,1023,1,0,1,-0.476,0,0.4702,0.8726,0.0004,0.0
16,auto,20.502,2254.6,12250.0,17.5,3.002,100.0,1023,1,0,1,-0.476,0,0.4969,0.8145,0.0004,0.0
19,auto,20.958,2233.4,11997.2,17.5,3.458,100.0,1023,1,0,1,-0.476,0,0.5109,0.7783,0.0005,0.0
21,auto,20.755,2242.8,12108.8,17.5,3.255,100.0,1023,1,0,1,-0.476,0,0.5227,0.7437,0.0006,0.0
23,auto,20.645,2247.9,12169.9,17.5,3.145,100.0,1023,1,0,1,-0.476,0,0.5324,0.7107,0.0006,0.0
25,auto,21.365,2214.6,11776.7,17.5,3.865,100.0,1023,1,0,1,-0.476,0,0.5402,0.6791,0.0007,0.0
27,auto,20.545,2252.6,12225.8,17.5,3.045,100.0,1023,0,0,1,-0.476,0,0.5493,0.6339,0.0008,0.0
30,auto,21.297,2217.7,11813.2,17.5,3.797,100.0,1023,0,0,1,-0.476,0,0.5492,0.6339,0.0008,0.0
32,auto,21.233,2220.6,11847.6,17.5,3.733,100.0,1023,0,0,1,-0.476,0,0.5491,0.6339,0.0009,0.0
34,auto,21.091,2227.2,11924.2,17.5,3.591,100.0,1023,0,0,1,-0.476,0,0.549,0.6339,0.001,0.0
36,auto,21.116,2226.0,11910.7,17.5,3.616,100.0,1023,0,0,1,-0.476,0,0.5489,0.6339,0.001,0.0
38,auto,21.164,2223.8,11884.9,17.5,3.664,100.0,1023,0,0,1,-0.4763,0,0.5488,0.6339,0.0011,0.0
42,auto,21.333,2216.0,11793.5,17.5,3.833,100.0,1023,0,0,1,-0.4763,0,0.5486,0.6339,0.0012,0.0
44,auto,21.188,2222.8,11872.1,17.5,3.688,100.0,1023,0,0,1,-0.4763,0,0.5485,0.634,0.0013,0.0
46,auto,21.163,2223.9,11885.5,17.5,3.663,100.0,1023,0,0,1,-0.4763,0,0.5484,0.634,0.0014,0.0
48,auto,21.575,2204.8,11664.4,17.5,4.075,100.0,1023,0,0,1,-0.4763,0,0.5483,0.634,0.0014,0.0
50,auto,21.311,2217.0,11805.7,17.5,3.811,100.0,1023,0,0,1,-0.4763,0,0.5481,0.634,0.0015,0.0
53,auto,21.349,2215.2,11784.8,17.5,3.849,100.0,1023,0,0,1,-0.4763,0,0.548,0.634,0.0016,0.0
55,auto,21.352,2215.2,11783.7,17.5,3.852,100.0,1023,0,0,1,-0.4763,0,0.5479,0.634,0.0016,0.0
57,auto,21.406,2212.6,11754.7,17.5,3.906,100.0,1023,0,0,1,-0.4763,0,0.5478,0.634,0.0017,0.0
59,auto,21.321,2216.6,11799.9,17.5,3.821,100.0,1023,0,0,1,-0.4763,0,0.5477,0.6341,0.0018,0.0
61,auto,21.159,2224.0,11887.3,17.5,3.659,100.0,1023,0,0,1,-0.4763,0,0.5475,0.6341,0.0019,0.0
64,auto,21.139,2225.0,11898.4,17.5,3.639,100.0,1023,0,0,1,-0.4763,0,0.5474,0.6341,0.0019,0.0
66,auto,21.218,2221.4,11855.7,17.5,3.718,100.0,1023,0,0,1,-0.4763,0,0.5473,0.6341,0.002,0.0
68,auto,21.214,2221.5,11857.5,17.5,3.714,100.0,1023,0,0,1,-0.4763,0,0.5472,0.6341,0.0021,0.0
70,auto,21.008,2231.0,11969.5,17.5,3.508,100.0,1023,0,0,1,-0.4761,0,0.5471,0.6341,0.0022,0.0
74,auto,21.336,2215.8,11791.8,17.5,3.836,100.0,1023,0,0,1,-0.4761,0,0.5469,0.6341,0.0022,0.0
76,auto,21.264,2219.2,11830.7,17.5,3.764,100.0,1023,0,0,1,-0.4761,0,0.5468,0.6342,0.0023,0.0
78,auto,21.152,2224.4,11891.4,17.5,3.652,100.0,1023,0,0,1,-0.4761,0,0.5467,0.6342,0.0024,0.0
80,auto,21.178,2223.2,11877.3,17.5,3.678,100.0,1023,0,0,1,-0.4761,0,0.5466,0.6342,0.0024,0.0
82,auto,21.175,2223.4,11879.1,17.5,3.675,100.0,1023,0,0,1,-0.4761,0,0.5464,0.6342,0.0025,0.0
85,auto,21.086,2227.4,11927.1,17.5,3.586,100.0,1023,0,0,1,-0.4761,0,0.5463,0.6342,0.0026,0.0
87,auto,21.172,2223.4,11880.3,17.5,3.672,100.0,1023,0,0,1,-0.4761,0,0.5462,0.6342,0.0027,0.0
89,auto,21.316,2216.8,11802.8,17.5,3.816,100.0,1023,0,0,1,-0.4761,0,0.5461,0.6342,0.0027,0.0
91,auto,21.212,2221.6,11858.7,17.5,3.712,100.0,1023,0,0,1,-0.4761,0,0.546,0.6342,0.0028,0.0
94,auto,21.099,2226.8,11920.1,17.5,3.599,100.0,1023,0,0,1,-0.4761,0,0.5458,0.6343,0.0029,0.0
96,auto,21.214,2221.5,11857.5,17.5,3.714,100.0,1023,0,0,1,-0.4761,0,0.5457,0.6343,0.0029,0.0
98,auto,21.135,2225.2,11900.7,17.5,3.635,100.0,1023,0,0,1,-0.4761,0,0.5456,0.6343,0.003,0.0
100,auto,21.026,2230.2,11960.0,17.5,3.526,100.0,1023,0,0,1,-0.4761,0,0.5455,0.6343,0.0031,0.0
103,auto,21.303,2217.4,11809.8,17.5,3.803,100.0,1023,0,0,1,-0.476,0,0.5453,0.6343,0.0032,0.0
106,auto,21.118,2226.0,11909.5,17.5,3.618,100.0,1023,0,0,1,-0.476,0,0.5452,0.6343,0.0033,0.0
108,auto,21.247,2220.0,11840.0,17.5,3.747,100.0,1023,0,0,1,-0.476,0,0.5451,0.6344,0.0033,0.0
110,auto,21.209,2221.8,11860.4,17.5,3.709,100.0,1023,0,0,1,-0.476,0,0.545,0.6344,0.0034,0.0
112,auto,21.315,2216.8,11803.4,17.5,3.815,100.0,1023,0,0,1,-0.476,0,0.5448,0.6344,0.0035,0.0
115,auto,20.898,2236.2,12029.7,17.5,3.398,100.0,1023,0,0,1,-0.476,0,0.5447,0.6344,0.0036,0.0
117,auto,21.395,2213.2,11760.5,17.5,3.895,100.0,1023,0,0,1,-0.476,0,0.5446,0.6344,0.0036,0.0
119,auto,21.04,2229.6,11952.4,17.5,3.54,100.0,1023,0,0,1,-0.476,0,0.5445,0.6344,0.0037,0.0
122,auto,21.308,2217.2,11806.9,17.5,3.808,100.0,1023,0,0,1,-0.476,0,0.5444,0.6344,0.0038,0.0
125,auto,21.213,2221.6,11858.1,17.5,3.713,100.0,1023,0,0,1,-0.476,0,0.5442,0.6345,0.0039,0.0
127,auto,21.268,2219.0,11828.4,17.5,3.768,100.0,1023,0,0,1,-0.476,0,0.5441,0.6345,0.0039,0.0
129,auto,21.15,2224.5,11892.5,17.5,3.65,100.0,1023,0,0,1,-0.476,0,0.544,0.6345,0.004,0.0
131,auto,21.487,2208.9,11711.5,17.5,3.987,100.0,1023,0,0,1,-0.476,0,0.5439,0.6345,0.0041,0.0
133,auto,21.232,2220.7,11848.2,17.5,3.732,100.0,1023,0,0,1,-0.476,0,0.5438,0.6345,0.0041,0.0
136,auto,21.153,2224.4,11890.8,17.5,3.653,100.0,1023,0,0,1,-0.476,0,0.5436,0.6345,0.0043,0.0
139,auto,21.035,2229.8,11954.8,17.5,3.535,100.0,1023,0,0,1,-0.476,0,0.5435,0.6345,0.0043,0.0
141,auto,21.258,2219.5,11834.2,17.5,3.758,100.0,1023,0,0,1,-0.476,0,0.5433,0.6346,0.0044,0.0
143,auto,21.125,2225.6,11906.0,17.5,3.625,100.0,1023,0,0,1,-0.476,0,0.5432,0.6346,0.0044,0.0
145,auto,21.193,2222.5,11869.2,17.5,3.693,100.0,1023,0,0,1,-0.476,0,0.5431,0.6346,0.0045,0.0
148,auto,20.976,2232.6,11987.2,17.5,3.476,100.0,1023,0,0,1,-0.476,0,0.543,0.6346,0.0046,0.0
150,auto,21.297,2217.7,11813.2,17.5,3.797,100.0,1023,0,0,1,-0.476,0,0.5429,0.6346,0.0047,0.0
152,auto,21.012,2230.9,11967.7,17.5,3.512,100.0,1023,0,0,1,-0.476,0,0.5428,0.6346,0.0047,0.0
154,auto,21.099,2226.8,11920.1,17.5,3.599,100.0,1023,0,0,1,-0.476,0,0.5427,0.6346,0.0048,0.0
156,auto,21.112,2226.2,11913.0,17.5,3.612,100.0,1023,0,0,1,-0.476,0,0.5426,0.6347,0.0049,0.0
159,auto,21.054,2229.0,11944.7,17.5,3.554,100.0,1023,0,0,1,-0.476,0,0.5424,0.6347,0.0049,0.0
161,auto,21.157,2224.2,11888.4,17.5,3.657,100.0,1023,0,0,1,-0.476,0,0.5423,0.6347,0.005,0.0
163,auto,21.165,2223.8,11884.4,17.5,3.665,100.0,1023,0,0,1,-0.476,0,0.5422,0.6347,0.0051,0.0
165,auto,21.088,2227.4,11926.0,17.5,3.588,100.0,1023,0,0,1,-0.476,0,0.5421,0.6347,0.0051,0.0
167,auto,21.153,2224.4,11890.8,17.5,3.653,100.0,1023,0,0,1,-0.476,0,0.5419,0.6347,0.0052,0.0
171,auto,21.117,2226.0,11910.1,17.5,3.617,100.0,1023,0,0,1,-0.476,0,0.5418,0.6347,0.0053,0.0
173,auto,21.234,2220.6,11847.0,17.5,3.734,100.0,1023,0,0,1,-0.476,0,0.5417,0.6348,0.0054,0.0
175,auto,21.211,2221.6,11859.2,17.5,3.711,100.0,1023,0,0,1,-0.476,0,0.5416,0.6348,0.0055,0.0
177,auto,21.046,2229.3,11948.9,17.5,3.546,100.0,1023,0,0,1,-0.476,0,0.5414,0.6348,0.0055,0.0
180,auto,21.209,2221.8,11860.4,17.5,3.709,100.0,1023,0,0,1,-0.476,0,0.5413,0.6348,0.0056,0.0
182,auto,21.132,2225.3,11901.9,17.5,3.632,100.0,1023,0,0,1,-0.476,0,0.5412,0.6348,0.0057,0.0
184,auto,21.2,2222.2,11865.1,17.5,3.7,100.0,1023,0,0,1,-0.476,0,0.5411,0.6348,0.0057,0.0
186,auto,21.132,2225.3,11901.9,17.5,3.632,100.0,1023,0,0,1,-0.476,0,0.541,0.6348,0.0058,0.0
188,auto,21.081,2227.7,11930.1,17.5,3.581,100.0,1023,0,0,1,-0.476,0,0.5408,0.6349,0.0059,0.0
191,auto,21.126,2225.6,11905.4,17.5,3.626,100.0,1023,0,0,1,-0.476,0,0.5407,0.6349,0.006,0.0
193,auto,21.129,2225.4,11903.7,17.5,3.629,100.0,1023,0,0,1,-0.476,0,0.5406,0.6349,0.006,0.0
195,auto,21.168,2223.6,11882.6,17.5,3.668,100.0,1023,0,0,1,-0.476,0,0.5405,0.6349,0.0061,0.0
197,auto,21.278,2218.6,11823.1,17.5,3.778,100.0,1023,0,0,1,-0.476,0,0.5404,0.6349,0.0061,0.0
200,auto,21.229,2220.8,11849.9,17.5,3.729,100.0,1023,0,0,1,-0.4757,0,0.5402,0.6349,0.0063,0.0
203,auto,21.0,2231.4,11974.2,17.5,3.5,100.0,1023,0,0,1,-0.4757,0,0.5401,0.6349,0.0063,0.0
205,auto,21.103,2226.6,11917.7,17.5,3.603,100.0,1023,0,0,1,-0.4757,0,0.54,0.635,0.0064,0.0
207,auto,21.12,2225.9,11908.9,17.5,3.62,100.0,1023,0,0,1,-0.4757,0,0.5399,0.635,0.0065,0.0
210,auto,21.154,2224.3,11890.2,17.5,3.654,100.0,1023,0,0,1,-0.4757,0,0.5397,0.635,0.0066,0.0
212,auto,21.084,2227.6,11928.3,17.5,3.584,100.0,1023,0,0,1,-0.4757,0,0.5396,0.635,0.0066,0.0
214,auto,21.05,2229.1,11946.5,17.5,3.55,100.0,1023,0,0,1,-0.4757,0,0.5395,0.635,0.0067,0.0
216,auto,21.202,2222.1,11864.5,17.5,3.702,100.0,1023,0,0,1,-0.4757,0,0.5394,0.635,0.0067,0.0
218,auto,21.221,2221.2,11854.0,17.5,3.721,100.0,1023,0,0,1,-0.4757,0,0.5393,0.635,0.0068,0.0
221,auto,20.981,2232.3,11984.2,17.5,3.481,100.0,1023,0,0,1,-0.4757,0,0.5391,0.6351,0.0069,0.0
223,auto,21.192,2222.6,11869.7,17.5,3.692,100.0,1023,0,0,1,-0.4757,0,0.539,0.6351,0.007,0.0
225,auto,21.176,2223.3,11878.5,17.5,3.676,100.0,1023,0,0,1,-0.4757,0,0.5389,0.6351,0.007,0.0
227,auto,21.244,2220.2,11841.7,17.5,3.744,100.0,1023,0,0,1,-0.4757,0,0.5388,0.6351,0.0071,0.0
229,auto,21.321,2216.6,11799.9,17.5,3.821,100.0,1023,0,0,1,-0.4757,0,0.5387,0.6351,0.0072,0.0
232,auto,21.056,2228.8,11943.6,17.5,3.556,100.0,1023,0,0,1,-0.476,0,0.5385,0.6351,0.0073,0.0
235,auto,21.167,2223.7,11883.2,17.5,3.667,100.0,1023,0,0,1,-0.476,0,0.5384,0.6351,0.0073,0.0
237,auto,20.966,2233.0,11992.5,17.5,3.466,100.0,1023,0,0,1,-0.476,0,0.5383,0.6352,0.0074,0.0
240,auto,21.069,2228.2,11936.5,17.5,3.569,100.0,1023,0,0,1,-0.476,0,0.5381,0.6352,0.0075,0.0
243,auto,21.021,2230.4,11962.4,17.5,3.521,100.0,1023,0,0,1,-0.476,0,0.538,0.6352,0.0076,0.0
245,auto,21.013,2230.8,11967.1,17.5,3.513,100.0,1023,0,0,1,-0.476,0,0.5379,0.6352,0.0077,0.0
247,auto,20.883,2236.8,12038.0,17.5,3.383,100.0,1023,0,0,1,-0.476,0,0.5378,0.6352,0.0077,0.0
249,auto,20.989,2232.0,11980.1,17.5,3.489,100.0,1023,0,0,1,-0.476,0,0.5377,0.6352,0.0078,0.0
251,auto,21.048,2229.2,11947.7,17.5,3.548,100.0,1023,0,0,1,-0.476,0,0.5376,0.6352,0.0078,0.0
254,auto,21.243,2220.2,11842.3,17.5,3.743,100.0,1023,0,0,1,-0.476,0,0.5374,0.6353,0.0079,0.0
256,auto,21.009,2231.0,11968.9,17.5,3.509,100.0,1023,0,0,1,-0.476,0,0.5373,0.6353,0.008,0.0
258,auto,21.101,2226.8,11918.9,17.5,3.601,100.0,1023,0,0,1,-0.476,0,0.5372,0.6353,0.0081,0.0
260,auto,21.129,2225.4,11903.7,17.5,3.629,100.0,1023,0,0,1,-0.476,0,0.5371,0.6353,0.0081,0.0
262,auto,21.044,2229.4,11950.0,17.5,3.544,100.0,1023,0,0,1,-0.4755,0,0.5369,0.6353,0.0082,0.0
266,auto,21.081,2227.7,11930.1,17.5,3.581,100.0,1023,0,0,1,-0.4755,0,0.5368,0.6353,0.0083,0.0
268,auto,21.057,2228.8,11943.0,17.5,3.557,100.0,1023,0,0,1,-0.4755,0,0.5367,0.6353,0.0084,0.0
270,auto,21.247,2220.0,11840.0,17.5,3.747,100.0,1023,0,0,1,-0.4755,0,0.5366,0.6354,0.0084,0.0
272,auto,20.984,2232.2,11983.0,17.5,3.484,100.0,1023,0,0,1,-0.4755,0,0.5365,0.6354,0.0085,0.0
274,auto,20.925,2234.9,12014.9,17.5,3.425,100.0,1023,0,0,1,-0.4755,0,0.5363,0.6354,0.0086,0.0
277,auto,21.111,2226.3,11913.6,17.5,3.611,100.0,1023,0,0,1,-0.4755,0,0.5362,0.6354,0.0087,0.0
279,auto,21.301,2217.5,11810.9,17.5,3.801,100.0,1023,0,0,1,-0.4755,0,0.5361,0.6354,0.0087,0.0
281,auto,21.049,2229.2,11947.1,17.5,3.549,100.0,1023,0,0,1,-0.4755,0,0.536,0.6354,0.0088,0.0
283,auto,20.88,2237.0,12039.8,17.5,3.38,100.0,1023,0,0,1,-0.4755,0,0.5359,0.6354,0.0088,0.0
286,auto,20.963,2233.2,11994.3,17.5,3.463,100.0,1023,0,0,1,-0.4755,0,0.5357,0.6355,0.0089,0.0
288,auto,21.059,2228.7,11941.8,17.5,3.559,100.0,1023,0,0,1,-0.4755,0,0.5356,0.6355,0.009,0.0
290,auto,21.072,2228.1,11934.8,17.5,3.572,100.0,1023,0,0,1,-0.4755,0,0.5355,0.6355,0.0091,0.0
292,auto,21.158,2224.1,11887.9,17.5,3.658,100.0,1023,0,0,1,-0.4755,0,0.5354,0.6355,0.0091,0.0
295,auto,21.113,2226.2,11912.5,17.5,3.613,100.0,1023,0,0,1,-0.4758,0,0.5352,0.6355,0.0093,0.0
298,auto,21.076,2227.9,11932.4,17.5,3.576,100.0,1023,0,0,1,-0.4758,0,0.5351,0.6355,0.0093,0.0
300,auto,20.959,2233.4,11996.6,17.5,3.459,100.0,1023,0,0,1,-0.4758,0,0.535,0.6355,0.0094,0.0
302,auto,21.057,2228.8,11943.0,17.5,3.557,100.0,1023,0,0,1,-0.4758,0,0.5349,0.6356,0.0094,0.0
304,auto,20.961,2233.2,11995.4,17.5,3.461,100.0,1023,0,0,1,-0.4758,0,0.5348,0.6356,0.0095,0.0
307,auto,21.207,2221.8,11861.6,17.5,3.707,100.0,1023,0,0,1,-0.4758,0,0.5346,0.6356,0.0096,0.0
309,auto,21.079,2227.8,11931.2,17.5,3.579,100.0,1023,0,0,1,-0.4758,0,0.5345,0.6356,0.0097,0.0
311,auto,20.997,2231.6,11976.0,17.5,3.497,100.0,1023,0,0,1,-0.4758,0,0.5344,0.6356,0.0097,0.0
313,auto,20.969,2232.9,11991.3,17.5,3.469,100.0,1023,0,0,1,-0.4758,0,0.5343,0.6356,0.0098,0.0
316,auto,21.149,2224.6,11893.1,17.5,3.649,100.0,1023,0,0,1,-0.4758,0,0.5342,0.6356,0.0099,0.0
318,auto,21.238,2220.4,11844.7,17.5,3.738,100.0,1023,0,0,1,-0.4758,0,0.5341,0.6357,0.0099,0.0
320,auto,21.013,2230.8,11967.1,17.5,3.513,100.0,1023,0,0,1,-0.4758,0,0.534,0.6357,0.01,0.0
322,auto,21.066,2228.4,11938.3,17.5,3.566,100.0,1023,0,0,1,-0.4758,0,0.5339,0.6357,0.0101,0.0
324,auto,20.746,2243.2,12113.6,17.5,3.246,100.0,1023,0,0,1,-0.4758,0,0.5338,0.6357,0.0101,0.0
327,auto,21.028,2230.2,11958.9,17.5,3.528,100.0,1023,0,0,1,-0.4759,0,0.5336,0.6357,0.0103,0.0
330,auto,21.034,2229.8,11955.3,17.5,3.534,100.0,1023,0,0,1,-0.4759,0,0.5335,0.6357,0.0103,0.0
332,auto,20.93,2234.7,12012.6,17.5,3.43,100.0,1023,0,0,1,-0.4759,0,0.5333,0.6357,0.0104,0.0
334,auto,21.323,2216.4,11798.7,17.5,3.823,100.0,1023,0,0,1,-0.4759,0,0.5332,0.6358,0.0104,0.0
336,auto,20.974,2232.6,11988.3,17.5,3.474,100.0,1023,0,0,1,-0.4759,0,0.5331,0.6358,0.0105,0.0
339,auto,20.888,2236.6,12035.7,17.5,3.388,100.0,1023,0,0,1,-0.4759,0,0.533,0.6358,0.0106,0.0
341,auto,20.885,2236.8,12036.9,17.5,3.385,100.0,1023,0,0,1,-0.4759,0,0.5329,0.6358,0.0107,0.0
343,auto,21.404,2212.7,11755.3,17.5,3.904,100.0,1023,0,0,1,-0.4759,0,0.5328,0.6358,0.0107,0.0
345,auto,21.172,2223.4,11880.3,17.5,3.672,100.0,1023,0,0,1,-0.4759,0,0.5327,0.6358,0.0108,0.0
347,auto,20.922,2235.0,12016.7,17.5,3.422,100.0,1023,0,0,1,-0.4759,0,0.5326,0.6358,0.0108,0.0
350,auto,21.181,2223.0,11875.6,17.5,3.681,100.0,1023,0,0,1,-0.4759,0,0.5324,0.6359,0.0109,0.0
352,auto,21.115,2226.1,11911.3,17.5,3.615,100.0,1023,0,0,1,-0.4759,0,0.5323,0.6359,0.011,0.0
354,auto,21.233,2220.6,11847.6,17.5,3.733,100.0,1023,0,0,1,-0.4759,0,0.5322,0.6359,0.0111,0.0
357,auto,21.08,2227.8,11930.6,17.5,3.58,100.0,1023,0,0,1,-0.4759,0,0.5321,0.6359,0.0112,0.0
360,auto,21.007,2231.1,11970.1,17.5,3.507,100.0,1023,0,0,1,-0.4753,0,0.5318,0.6359,0.0113,0.0
363,auto,21.086,2227.4,11927.1,17.5,3.586,100.0,1023,0,0,1,-0.4753,0,0.5317,0.6359,0.0113,0.0
365,auto,20.717,2244.6,12129.8,17.5,3.217,100.0,1023,0,0,1,-0.4753,0,0.5316,0.6359,0.0114,0.0
367,auto,21.052,2229.0,11945.9,17.5,3.552,100.0,1023,0,0,1,-0.4753,0,0.5315,0.636,0.0115,0.0
370,auto,20.954,2233.6,11999.0,17.5,3.454,100.0,1023,0,0,1,-0.4753,0,0.5314,0.636,0.0116,0.0
372,auto,21.214,2221.5,11857.5,17.5,3.714,100.0,1023,0,0,1,-0.4753,0,0.5313,0.636,0.0116,0.0
374,auto,21.045,2229.4,11949.5,17.5,3.545,100.0,1023,0,0,1,-0.4753,0,0.5312,0.636,0.0117,0.0
376,auto,20.813,2240.1,12076.7,17.5,3.313,100.0,1023,0,0,1,-0.4753,0,0.5311,0.636,0.0117,0.0
